ngrp,lvdate,exdate,mcode,int_loc
8,24mar1999,30mar1999,9,2
16,16apr1999,16apr1999,,2
3,13apr1999,13apr1999,,2
6,30mar1999,01apr1999,,2
10,26mar1999,26mar1999,9,2
16,14apr1999,14apr1999,4,2
6,01apr1999,01apr1999,19,2
6,01apr1999,01apr1999,19,2
4,28mar1999,28mar1999,19,2
9,31mar1999,31mar1999,19,2
5,18apr1999,18apr1999,19,2
4,13apr1999,19apr1999,4,2
2,18apr1999,18apr1999,22,2
5,01apr1999,04apr1999,19,2
6,03apr1999,03apr1999,19,2
9,15jan1999,15jan1999,18,2
7,14mar1999,07apr1999,25,2
6,15sep1998,11apr1999,24,2
2,29mar1999,29mar1999,19,2
5,03apr1999,10apr1999,19,2
4,31mar1999,02apr1999,19,2
5,14apr1999,14apr1999,4,2
9,19apr1999,19apr1999,4,2
5,29mar1999,29mar1999,4,2
10,31mar1999,01apr1999,19,2
2,20apr1999,20apr1999,25,2
6,15aug1998,04apr1999,8,2
7,05apr1999,15apr1999,4,2
10,30mar1999,31mar1999,19,2
7,31mar1999,01apr1999,19,2
5,27mar1999,31mar1999,19,2
6,02apr1999,02apr1999,19,2
5,31mar1999,31mar1999,19,2
18,04apr1999,04apr1999,9,2
2,08apr1999,08apr1999,11,2
7,13apr1999,13apr1999,25,2
6,17apr1999,18apr1999,4,2
13,04apr1999,04apr1999,25,2
7,15aug1998,25mar1999,25,2
3,03apr1999,03apr1999,19,2
4,04apr1999,04apr1999,19,2
10,14apr1999,14apr1999,4,2
6,29mar1999,29mar1999,19,2
14,30mar1999,30mar1999,19,2
6,03apr1999,03apr1999,19,2
7,30mar1999,31mar1999,19,2
8,15aug1998,02apr1999,25,2
5,17apr1999,17apr1999,4,2
14,17apr1999,17apr1999,4,2
5,10apr1999,21apr1999,25,2
10,31mar1999,31mar1999,27,2
7,24mar1999,18apr1999,4,2
4,16apr1999,16apr1999,4,2
17,24mar1999,24mar1999,25,2
6,26mar1999,26mar1999,25,2
4,06apr1999,14apr1999,25,2
5,14apr1999,18apr1999,7,2
7,16apr1999,16apr1999,4,2
11,17apr1999,17apr1999,4,2
6,26mar1999,16apr1999,25,2
6,06apr1999,16apr1999,25,2
1,03apr1999,20apr1999,3,2
5,06apr1999,17apr1999,7,2
10,06apr1999,18apr1999,25,2
5,01apr1999,21apr1999,25,2
11,06apr1999,16apr1999,25,2
9,18apr1999,18apr1999,4,2
9,25jan1999,04apr1999,7,2
11,28mar1999,31mar1999,23,2
7,28mar1999,03apr1999,23,2
1,02apr1999,02apr1999,9,2
7,06apr1999,06apr1999,4,2
10,25mar1999,25mar1999,7,2
3,13apr1999,17apr1999,11,2
2,25mar1999,19apr1999,24,2
3,06apr1999,06apr1999,25,2
5,30mar1999,30mar1999,19,2
2,04apr1999,04apr1999,19,2
12,10apr1999,17apr1999,4,2
1,18apr1999,21apr1999,13,2
18,15jun1998,15apr1999,22,2
8,15jun1998,01apr1999,22,2
5,10mar1999,10mar1999,19,2
7,02apr1999,17apr1999,4,2
6,29mar1999,17apr1999,4,2
7,28mar1999,20apr1999,4,2
1,15dec1998,01apr1999,21,2
6,30mar1999,30mar1999,25,2
4,08may1998,01apr1999,3,2
4,28mar1999,20apr1999,4,2
7,15apr1999,15apr1999,,2
7,01jul1998,01apr1999,13,2
5,03apr1999,25apr1999,13,2
10,18jun1998,06apr1999,22,2
6,26apr1999,26apr1999,13,2
2,12mar1999,28mar1999,18,2
6,26mar1999,12apr1999,25,2
1,16apr1999,16apr1999,,2
5,25mar1999,02apr1999,19,2
6,15jun1998,02apr1999,27,2
4,14apr1999,14apr1999,25,2
6,28mar1999,14apr1999,4,2
5,17mar1999,01apr1999,19,2
2,06apr1999,26apr1999,11,2
21,21jan1999,01apr1999,18,2
9,30mar1999,14apr1999,25,2
7,25jul1998,16apr1999,22,2
4,26apr1999,26apr1999,25,2
5,15jul1998,16apr1999,13,2
10,27mar1999,16apr1999,4,2
6,23sep1998,31mar1999,3,2
9,24may1998,06apr1999,1,2
11,22mar1999,22mar1999,19,2
7,15sep1998,04apr1999,23,2
5,20apr1999,23apr1999,4,2
3,14apr1999,18apr1999,,2
6,24mar1999,28apr1999,25,2
9,15mar1998,15apr1999,3,2
4,30mar1999,21apr1999,26,2
10,28mar1999,20apr1999,4,2
6,18jul1998,24apr1999,13,2
9,04apr1999,21apr1999,4,2
9,27apr1999,27apr1999,25,2
6,25mar1999,24apr1999,13,2
5,13apr1999,13apr1999,4,2
4,16apr1999,16apr1999,,2
6,01apr1999,01apr1999,25,2
18,13apr1999,13apr1999,7,2
7,29mar1999,09apr1999,25,2
4,15mar1999,13apr1999,25,2
17,18mar1999,03apr1999,25,2
16,14jun1998,13apr1999,22,2
2,29mar1999,13apr1999,25,2
7,06apr1999,13apr1999,25,2
5,31mar1999,01apr1999,25,2
5,13apr1999,13apr1999,25,2
5,05apr1999,14apr1999,25,2
7,13apr1999,13apr1999,25,2
7,26aug1998,04apr1999,22,2
6,06apr1999,13apr1999,25,2
7,05apr1999,10apr1999,25,2
8,28mar1999,13apr1999,25,2
11,27jun1998,02apr1999,13,2
6,20jun1998,10apr1999,22,2
7,20jul1998,13apr1999,25,2
10,12apr1999,13apr1999,25,2
5,22mar1999,13apr1999,19,2
5,22mar1999,17apr1999,25,2
7,05apr1999,13apr1999,25,2
18,15jun1998,13apr1999,22,2
5,13apr1999,21apr1999,4,2
17,,,,2
33,27mar1999,16apr1999,,2
3,31mar1999,13apr1999,,2
8,24mar1999,02apr1999,19,2
7,06apr1999,06apr1999,4,2
7,13apr1999,14apr1999,25,2
6,03apr1999,06apr1999,11,2
,16apr1999,16apr1999,,2
12,24mar1999,22apr1999,13,2
1,22apr1999,22apr1999,19,2
7,28mar1999,22apr1999,23,2
11,28mar1999,06apr1999,23,2
5,22apr1999,22apr1999,25,2
5,29mar1999,09apr1999,19,2
9,17sep1998,06apr1999,11,2
4,26mar1999,15apr1999,9,2
8,05apr1999,16apr1999,19,2
21,19apr1999,21apr1999,4,2
3,02apr1999,05apr1999,27,2
8,02apr1999,06apr1999,19,2
8,02aug1998,11sep1998,8,2
7,20apr1999,21apr1999,19,2
4,28mar1999,20apr1999,4,2
3,20apr1999,20apr1999,19,2
8,27mar1999,03apr1999,18,2
7,27mar1999,06apr1999,27,2
3,22mar1999,22mar1999,27,2
9,05apr1999,06apr1999,23,2
23,18apr1999,20apr1999,4,2
6,04apr1999,20apr1999,4,2
3,11apr1999,19apr1999,4,2
6,14apr1999,15apr1999,4,2
7,25mar1999,15apr1999,4,2
7,28mar1999,04apr1999,19,2
5,31mar1999,31mar1999,19,2
5,23mar1999,03apr1999,21,2
14,01apr1999,06apr1999,19,2
5,04apr1999,07apr1999,27,2
7,03apr1999,03apr1999,19,2
3,28mar1999,30mar1999,19,2
6,17apr1999,17apr1999,25,2
4,29mar1999,06apr1999,19,2
12,29mar1999,23apr1999,13,2
6,26apr1999,26apr1999,25,2
6,22mar1999,26apr1999,19,2
9,09apr1999,27apr1999,13,2
6,31mar1999,07apr1999,19,2
6,19mar1999,26apr1999,21,2
3,24apr1999,25apr1999,19,2
4,20mar1999,15apr1999,27,2
4,27mar1999,08apr1999,11,2
5,27apr1999,27apr1999,19,2
3,14apr1999,20apr1999,18,2
8,04apr1999,13apr1999,25,2
12,28mar1999,13apr1999,25,2
4,25apr1999,26apr1999,19,2
5,,19apr1999,19,2
4,,16apr1999,11,1
9,04apr1999,06apr1999,25,2
0,05apr1999,05apr1999,19,2
5,04apr1999,11apr1999,25,2
0,02mar1999,01apr1999,18,2
4,01apr1999,06apr1999,18,2
5,31mar1999,08apr1999,25,2
1,31mar1999,10apr1999,9,2
10,01apr1999,08apr1999,19,2
4,,,11,2
5,21mar1999,07apr1999,19,2
8,,,19,2
7,22mar1999,03apr1999,19,2
14,25mar1999,08apr1999,18,2
4,15apr1999,21apr1999,4,2
7,01apr1999,05apr1999,19,2
11,30mar1999,04apr1999,19,2
4,30mar1999,06apr1999,19,2
9,30mar1999,06apr1999,19,2
7,31mar1999,06apr1999,19,2
5,02apr1999,06apr1999,9,2
6,,,19,2
8,02apr1999,06apr1999,9,2
5,08mar1999,06apr1999,19,2
8,31mar1999,01apr1999,19,2
4,31mar1999,06apr1999,19,2
7,06apr1999,06apr1999,25,2
2,14jun1998,14apr1999,22,2
6,05apr1999,13apr1999,25,2
7,30mar1999,16apr1999,25,2
4,04apr1999,06apr1999,19,2
5,01apr1999,08apr1999,19,2
6,04apr1999,06apr1999,9,2
3,02apr1999,03apr1999,25,2
4,28mar1999,29mar1999,19,2
6,27mar1999,29mar1999,19,2
13,24mar1999,20apr1999,4,2
2,31mar1999,05apr1999,19,2
5,09apr1999,17apr1999,25,2
3,27mar1999,01apr1999,19,2
6,03apr1999,07apr1999,25,2
7,18apr1999,20apr1999,4,2
8,20mar1999,21apr1999,4,2
5,20mar1999,04apr1999,4,2
5,01apr1999,01apr1999,19,2
3,31mar1999,07apr1999,27,2
5,25may1998,30jun1998,22,2
6,29mar1999,15apr1999,25,2
7,27mar1999,01apr1999,25,2
13,04apr1999,05apr1999,4,2
9,14apr1999,15apr1999,19,2
5,10apr1999,11apr1999,25,2
4,04apr1999,07apr1999,19,2
8,28mar1999,02apr1999,25,2
4,14apr1999,14apr1999,25,2
13,26jul1998,02apr1999,22,2
16,10jun1998,14apr1999,22,2
11,05apr1999,15apr1999,25,2
4,28mar1999,08apr1999,13,2
4,31mar1999,14apr1999,25,2
2,19apr1999,19apr1999,4,2
2,20mar1999,01apr1999,19,2
3,23mar1999,01apr1999,19,2
4,26mar1999,28mar1999,19,2
4,06apr1999,16apr1999,4,2
7,05mar1999,16apr1999,7,2
5,30mar1999,01apr1999,19,2
5,06apr1999,14apr1999,25,2
6,28mar1999,20apr1999,4,2
10,24mar1999,04apr1999,4,2
5,23mar1999,06apr1999,9,2
5,22sep1998,03mar1999,27,2
7,01apr1999,05apr1999,19,2
13,02apr1999,17apr1999,4,2
1,01apr1999,06apr1999,19,2
15,04apr1999,25apr1999,13,2
9,06apr1999,25apr1999,25,2
5,20mar1999,07apr1999,19,2
8,24mar1999,12apr1999,25,2
1,31mar1999,27apr1999,19,2
1,04apr1999,06apr1999,2,2
20,25mar1999,25apr1999,25,2
6,25mar1999,26apr1999,13,2
5,28mar1999,06apr1999,19,2
2,15jun1998,05apr1999,15,2
4,14apr1999,16apr1999,4,2
5,01apr1999,02apr1999,19,2
14,06may1998,30jul1998,17,2
21,18apr1999,22apr1999,26,2
9,25apr1999,28apr1999,25,2
4,24mar1999,28apr1999,25,2
4,03apr1999,28apr1999,25,2
7,22apr1999,28apr1999,25,2
13,26apr1999,28apr1999,25,2
6,27apr1999,28apr1999,25,2
10,26apr1999,28apr1999,25,2
5,11apr1999,11apr1999,22,2
6,23mar1999,28apr1999,26,2
6,01mar1998,07apr1999,8,2
11,28mar1999,14apr1999,7,2
7,24mar1999,20apr1999,4,2
8,01apr1999,09apr1999,19,2
8,01apr1999,09apr1999,19,2
6,05mar1998,22sep1998,3,2
2,31mar1999,06apr1999,19,2
4,26mar1999,06apr1999,19,2
1,31mar1999,31mar1999,25,2
15,15mar1999,04apr1999,9,2
15,01apr1999,05apr1999,19,2
2,01apr1999,07apr1999,19,2
19,29mar1999,31mar1999,19,2
5,01apr1999,04apr1999,19,2
4,01apr1999,01apr1999,19,2
5,27mar1999,20apr1999,7,2
8,15mar1998,01apr1999,13,2
7,08apr1999,08apr1999,,2
6,18apr1999,21apr1999,4,2
10,22mar1999,16apr1999,26,2
4,22mar1999,03apr1999,,2
12,02apr1999,13apr1999,25,2
4,06mar1999,22mar1999,18,2
6,30mar1999,01apr1999,,2
4,22mar1999,12apr1999,26,2
6,02apr1999,04apr1999,,2
8,03apr1999,06apr1999,19,2
7,30mar1999,01apr1999,19,2
6,01apr1999,14apr1999,25,2
6,22sep1998,04apr1999,25,2
1,28mar1999,02apr1999,19,2
8,30mar1999,03apr1999,19,2
,31mar1999,31mar1999,19,2
6,15jun1998,26mar1999,16,2
7,29jun1998,31mar1999,15,2
12,06apr1999,15apr1999,4,2
5,29jun1998,30mar1999,15,2
6,03apr1999,06apr1999,27,2
5,08apr1999,14apr1999,25,2
4,01apr1999,01apr1999,19,2
7,05apr1999,15apr1999,4,2
6,02apr1999,02apr1999,20,2
5,27mar1999,12apr1999,4,2
7,23feb1999,01apr1999,27,2
9,24mar1999,11apr1999,25,2
4,02apr1999,05apr1999,25,2
8,02apr1999,06apr1999,,2
5,22mar1999,02apr1999,19,2
9,24mar1999,06apr1999,25,2
7,14apr1999,15apr1999,4,2
8,01apr1999,01apr1999,4,2
9,08jun1998,28mar1999,21,2
1,26mar1999,15apr1999,4,2
6,08apr1999,15apr1999,25,2
5,01apr1999,07apr1999,19,2
9,25mar1999,05apr1999,19,2
3,23mar1999,29mar1999,11,2
14,11apr1999,11apr1999,,2
5,01apr1999,05apr1999,19,2
1,06apr1999,14apr1999,25,2
6,02apr1999,04apr1999,19,2
11,27mar1999,07apr1999,19,2
10,04apr1999,05apr1999,25,2
12,15apr1999,16apr1999,7,2
6,22sep1998,15mar1999,27,2
7,29mar1999,02apr1999,25,2
10,14jun1998,01apr1999,22,2
9,28feb1999,05apr1999,4,2
5,03apr1999,06apr1999,19,2
3,15aug1998,24apr1999,22,2
4,03apr1999,05apr1999,19,2
3,28feb1999,13mar1999,18,2
3,30mar1999,25apr1999,25,2
2,15mar1998,15mar1998,22,2
4,15mar1999,15apr1999,25,2
3,29mar1999,08apr1999,19,2
14,28mar1999,04apr1999,19,2
7,27mar1999,02apr1999,19,2
5,29mar1999,05apr1999,25,2
4,30mar1999,31mar1999,,2
6,24mar1999,04apr1999,,2
4,24mar1999,16apr1999,4,2
3,24mar1999,18apr1999,,2
9,01apr1999,07apr1999,,2
5,23mar1999,16apr1999,25,2
3,04apr1999,07apr1999,25,2
2,03apr1999,14apr1999,,2
5,03apr1999,05apr1999,19,2
6,03apr1999,17apr1999,4,2
6,24mar1999,08apr1999,,2
5,31mar1999,16apr1999,25,2
5,10jan1999,13apr1999,25,2
5,03apr1999,06apr1999,27,2
5,26mar1999,16apr1999,25,2
4,03apr1999,15apr1999,19,2
4,17apr1999,17apr1999,25,2
6,16apr1999,16apr1999,25,2
7,13apr1999,15apr1999,4,2
8,03apr1999,04apr1999,19,2
5,14apr1999,14apr1999,25,2
5,02apr1999,05apr1999,25,2
4,03apr1999,07apr1999,19,2
2,14apr1999,14apr1999,25,2
5,15apr1999,16apr1999,4,2
5,07mar1999,03apr1999,7,2
10,11jun1998,28aug1998,22,2
8,28mar1999,12apr1999,,2
3,02feb1999,18apr1999,,2
3,17mar1999,30mar1999,19,2
6,01apr1999,08apr1999,,2
6,25mar1999,06apr1999,,2
5,01apr1999,22apr1999,7,2
1,26apr1999,26apr1999,,2
6,25apr1999,26apr1999,13,2
7,15apr1999,15apr1999,25,2
6,15sep1998,26mar1999,11,2
5,27mar1999,06apr1999,,2
5,,,27,2
10,14apr1999,16apr1999,4,2
2,05apr1999,15apr1999,4,2
4,01apr1999,01apr1999,25,2
7,06apr1999,06apr1999,11,2
5,30mar1999,30mar1999,19,2
13,07apr1999,07apr1999,4,2
1,03jan1999,03jan1999,24,2
13,06apr1999,07apr1999,25,2
4,04apr1999,15apr1999,4,2
4,16apr1999,16apr1999,4,1
1,03apr1999,03apr1999,11,2
5,28feb1998,20mar1998,21,2
9,06apr1999,10apr1999,25,2
3,06apr1999,06apr1999,19,2
17,03apr1999,03apr1999,19,2
9,01apr1999,03apr1999,,2
2,03apr1999,03apr1999,19,2
5,29mar1999,06apr1999,19,2
4,24mar1999,20apr1999,4,2
5,30mar1999,02apr1999,,2
7,28mar1999,06apr1999,,2
6,31mar1999,04apr1999,18,2
7,01apr1999,11apr1999,19,2
4,02apr1999,02apr1999,19,2
26,15apr1999,16apr1999,4,2
5,16apr1999,16apr1999,,2
8,01apr1999,04apr1999,19,2
7,02apr1999,06apr1999,,2
3,01apr1999,17apr1999,19,2
4,31mar1999,03apr1999,19,2
4,30mar1999,06apr1999,19,2
4,30mar1999,06apr1999,19,2
10,02apr1999,05apr1999,,2
4,31mar1999,07apr1999,19,2
18,05apr1999,11apr1999,25,2
1,25mar1999,04apr1999,25,2
5,03apr1999,06apr1999,,2
3,02apr1999,03apr1999,7,2
3,28mar1999,05apr1999,,2
6,12sep1998,25apr1999,18,2
21,05apr1999,05apr1999,,2
9,15apr1999,15apr1999,,2
6,24mar1999,06apr1999,9,2
1,04apr1999,06apr1999,,2
8,01apr1999,06apr1999,,2
8,30mar1999,01apr1999,,2
9,04apr1999,05apr1999,19,2
5,04apr1999,06apr1999,19,2
5,26apr1999,26apr1999,13,2
9,28mar1999,05apr1999,,2
9,20mar1999,06apr1999,3,2
4,27mar1999,06apr1999,25,2
5,03apr1999,03apr1999,13,2
5,14apr1999,14apr1999,25,2
5,14apr1999,14apr1999,25,2
7,26mar1999,29mar1999,25,2
17,14apr1999,17apr1999,4,2
5,27mar1999,14apr1999,25,2
10,13apr1999,16apr1999,4,2
8,22jul1998,31mar1999,8,2
4,21apr1999,26apr1999,7,2
5,26mar1999,05apr1999,25,2
7,06apr1999,07apr1999,19,2
2,31mar1999,04apr1999,,2
2,29mar1999,06apr1999,19,2
14,25mar1999,03apr1999,25,2
3,31mar1999,03apr1999,19,2
5,24dec1998,06apr1999,18,2
5,24mar1999,22apr1999,4,2
11,18apr1999,25apr1999,19,2
7,06apr1999,08apr1999,,2
8,01apr1999,04apr1999,9,2
13,27jul1998,01apr1999,,2
6,31mar1999,06apr1999,19,2
3,17may1998,01jul1998,8,2
1,01feb1999,06apr1999,24,2
9,31mar1999,05apr1999,19,2
8,04apr1999,04apr1999,9,2
5,26apr1999,26apr1999,25,2
4,22apr1999,22apr1999,22,2
6,06apr1999,15apr1999,25,2
13,14apr1999,16apr1999,4,2
5,01apr1999,05apr1999,15,2
4,30mar1999,06apr1999,,2
4,13apr1999,14apr1999,23,2
9,15jul1998,15jul1998,13,2
10,25mar1999,16apr1999,25,2
9,28mar1999,28mar1999,24,1
7,,26mar1999,20,1
8,07apr1999,07apr1999,20,1
8,25aug1998,26mar1999,3,1
4,28mar1999,28mar1999,17,1
32,28mar1999,28mar1999,20,1
18,01apr1999,01apr1999,7,1
5,26mar1999,30mar1999,,1
9,,,8,1
11,25mar1999,06apr1999,20,1
17,01apr1999,01apr1999,2,1
15,05apr1999,06apr1999,19,1
7,10apr1999,10apr1999,9,1
6,02apr1999,02apr1999,2,1
6,,,,1
4,,,,1
6,28apr1998,28mar1999,,1
9,03apr1999,03apr1999,1,1
10,15jun1998,16apr1999,19,1
8,16apr1999,16apr1999,19,1
16,02apr1999,02apr1999,,1
8,28sep1998,03apr1999,,1
5,15mar1998,02apr1999,,1
8,03apr1999,03apr1999,2,1
7,11apr1999,11apr1999,9,1
4,11apr1999,11apr1999,9,1
6,10apr1999,10apr1999,9,1
0,03apr1999,03apr1999,2,1
15,02apr1999,07apr1999,1,1
4,02apr1999,04apr1999,2,1
5,13apr1999,15apr1999,1,1
11,23mar1999,23mar1999,20,1
12,21apr1998,26mar1999,1,1
88,13apr1999,13apr1999,11,1
9,01apr1999,19apr1999,2,1
6,15mar1999,16mar1999,6,1
29,16apr1999,16apr1999,9,1
7,28aug1998,16apr1999,21,1
10,16apr1999,16apr1999,9,1
8,16apr1999,18apr1999,9,1
14,01apr1999,01apr1999,19,1
7,24mar1999,12apr1999,9,1
5,15jul1998,04apr1999,1,1
13,17mar1999,01apr1999,18,1
6,02apr1999,05apr1999,1,1
6,09jun1998,03apr1999,24,1
2,03apr1999,03apr1999,17,1
4,16apr1999,18apr1999,9,1
6,01apr1999,03apr1999,,1
8,26jul1998,10apr1999,3,1
12,16apr1999,19apr1999,11,1
12,30mar1999,30mar1999,4,1
10,15apr1999,15apr1999,20,1
11,22mar1999,25mar1999,24,1
8,15jul1998,25mar1999,24,1
23,31mar1999,31mar1999,20,1
12,31mar1999,31mar1999,20,1
6,29mar1999,01apr1999,24,1
23,24mar1999,30mar1999,20,1
6,01apr1999,01apr1999,24,1
9,29mar1999,01apr1999,20,1
15,28mar1999,05apr1999,1,1
11,13mar1999,13mar1999,9,1
16,28mar1999,29mar1999,24,1
8,25mar1999,06apr1999,20,1
5,05apr1999,05apr1999,7,1
7,25mar1999,30mar1999,20,1
12,13apr1999,13apr1999,9,1
10,31mar1999,31mar1999,20,1
8,31mar1999,31mar1999,20,1
6,18sep1998,25jan1999,16,1
2,28mar1999,28mar1999,19,1
6,28mar1999,28mar1999,11,1
19,14apr1999,15apr1999,9,1
9,28mar1999,28mar1999,5,1
10,18sep1998,11apr1999,16,1
5,28mar1999,16apr1999,20,1
21,12mar1999,30mar1999,8,1
15,25mar1999,29mar1999,20,1
9,25mar1999,25mar1999,19,1
5,03apr1999,05apr1999,7,1
