bdate	municipality	details
17May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on civilian and industrial facilities on May 17th, and in the night between May 17th and 18th 1999"
17May99	13	"FRY Ministry of Foreign Affairs, ""NATO raids on civilian and industrial facilities on May 17th, and in the night between May 17th and 18th 1999"
17May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on civilian and industrial facilities on May 17th, and in the night between May 17th and 18th 1999"
18May99	18	"NATO, Operation Allied Force Update, 19 May 1999 0930 CET"
18May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on civilian and industrial facilities on May 18th, and in the night between May 18th and 19th 1999"
18May99	24	"FRY Ministry of Foreign Affairs, ""NATO raids on civilian and industrial facilities on May 18th, and in the night between May 18th and 19th 1999"
19May99	4	"Tanjug, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
19May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 19th, and in the night between May 19th and 20th 1999"
19May99	9	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 19th, and in the night between May 19th and 20th 1999"
19May99	17	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 19th, and in the night between May 19th and 20th 1999"
19May99	19	"NATO, Operation Allied Force Update, 20 May 1999 0930 CET"
19May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 19th, and in the night between May 19th and 20th 1999"
19May99	29	"NATO, Operation Allied Force Update, 20 May 1999 0930 CET"
21May99	2	"Information provided by Yugoslav civil defense authorities"
21May99	6	"NATO, Operation Allied Force Update, 22 May 1999 0930 CET"
21May99	7	"NATO, Operation Allied Force Update, 22 May 1999 0930 CET"
21May99	8	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 21st, and in the night between May 21st and 22nd 1999"
21May99	9	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 21st, and in the night between May 21st and 22nd 1999"
21May99	13	"Information provided by Yugoslav civil defense authorities"
21May99	17	"Information provided by Yugoslav civil defense authorities"
21May99	18	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 21st, and in the night between May 21st and 22nd 1999"
21May99	19	"Information provided by Yugoslav civil defense authorities"
21May99	20	"NATO, Operation Allied Force Update, 22 May 1999 0930 CET"
21May99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 21st, and in the night between May 21st and 22nd 1999"
22May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 22nd, and in the night between May 22nd and 23rd 1999"
22May99	8	"Information provided by Yugoslav civil defense authorities"
22May99	9	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 22nd, and in the night between May 22nd and 23rd 1999"
22May99	11	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 22nd, and in the night between May 22nd and 23rd 1999"
22May99	18	"NATO, Operation Allied Force Update, 23 May 1999 0930 CET"
22May99	19	"Information provided by Yugoslav civil defense authorities"
22May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 22nd, and in the night between May 22nd and 23rd 1999"
22May99	25	"NATO, Operation Allied Force Update, 23 May 1999 0930 CET"
22May99	29	"NATO, Operation Allied Force Update, 23 May 1999 0930 CET"
23May99	2	"Tanjug, ""Chronology of Crimes and Dishonor of NATO,"" 5 June 1999."
23May99	4	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 23rd, and in the night between May 23rd and 24th 1999"
23May99	7	"NATO, Operation Allied Force Update, 24 May 1999 0930 CET"
23May99	19	"NATO, Operation Allied Force Update, 24 May 1999 0930 CET"
23May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 23rd, and in the night between May 23rd and 24th 1999"
23May99	23	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 23rd, and in the night between May 23rd and 24th 1999"
23May99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 23rd, and in the night between May 23rd and 24th 1999"
23May99	28	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 23rd, and in the night between May 23rd and 24th 1999"
24May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 24th, and in the night between May 24th and 25th 1999"
24May99	13	"Information provided by Yugoslav civil defense authorities"
24May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 24th, and in the night between May 24th and 25th 1999"
24May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 24th, and in the night between May 24th and 25th 1999"
24May99	25	"Information provided by Yugoslav civil defense authorities"
25May99	2	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	3	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 24th, and in the night between May 24th and 25th 1999"
25May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	8	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	10	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	13	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	17	"NATO, Operation Allied Force Update, 26 May 1999 0930 CET"
25May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
25May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
25May99	22	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
25May99	23	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
25May99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 25th, and in the night between May 25th and 26th 1999"
26May99	2	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	5	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	8	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	13	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	16	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	17	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	22	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	23	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	24	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
26May99	28	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 26th, and in the night between May 26th and 27th 1999"
27May99	2	"NATO, Operation Allied Force Update, 28 May 1999 0900 CET"
27May99	6	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
27May99	7	"NATO, Operation Allied Force Update, 28 May 1999 0900 CET"
27May99	8	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
27May99	9	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
27May99	17	"Information provided by Yugoslav civil defense authorities"
27May99	19	"Information provided by Yugoslav civil defense authorities"
27May99	22	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
27May99	25	"NATO, Operation Allied Force Update, 28 May 1999 0900 CET"
27May99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
28May99	3	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 28th, and in the night between May 28th and 29th 1999"
28May99	14	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 27th, and in the night between May 27th and 28th 1999"
28May99	17	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 28th, and in the night between May 28th and 29th 1999"
28May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 28th, and in the night between May 28th and 29th 1999"
28May99	20	"NATO, Operation Allied Force Update, 29 May 1999 0900 CET"
28May99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 28th, and in the night between May 28th and 29th 1999"
28May99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 28th, and in the night between May 28th and 29th 1999"
29May99	1	"Information provided by Yugoslav civil defense authorities"
29May99	2	"NATO, Operation Allied Force Update, 30 May 1999 0900 CET"
29May99	4	"Information provided by Yugoslav civil defense authorities"
29May99	5	"NATO, Operation Allied Force Update, 30 May 1999 0900 CET"
29May99	6	"Information provided by Yugoslav civil defense authorities"
29May99	8	"Information provided by Yugoslav civil defense authorities"
29May99	9	"NATO, Operation Allied Force Update, 30 May 1999 0900 CET"
29May99	12	"Information provided by Yugoslav civil defense authorities"
29May99	13	"Information provided by Yugoslav civil defense authorities"
29May99	17	"Information provided by Yugoslav civil defense authorities"
29May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 29th, and in the night between May 29th and 30th 1999"
29May99	20	"Information provided by Yugoslav civil defense authorities"
29May99	25	"Information provided by Yugoslav civil defense authorities"
29May99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 29th, and in the night between May 29th and 30th 1999"
30May99	2	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 31st, and in the night between May 31st and June 1st 1999"
30May99	4	"NATO, Operation Allied Force Update, 31 May 1999 0900 CET"
30May99	11	"Information provided by Yugoslav civil defense authorities"
30May99	13	"Information provided by Yugoslav civil defense authorities"
30May99	18	"Information provided by Yugoslav civil defense authorities"
30May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 30th, and in the night between May 30th and 31st 1999"
30May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 30th, and in the night between May 30th and 31st 1999"
30May99	21	"Information provided by Yugoslav civil defense authorities"
30May99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 30th, and in the night between May 30th and 31st 1999"
30May99	27	"NATO, Operation Allied Force Update, 31 May 1999 0900 CET"
30May99	28	"Information provided by Yugoslav civil defense authorities"
31May99	1	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 31st, and in the night between May 31st and June 1st 1999"
31May99	4	"Information provided by Yugoslav civil defense authorities"
31May99	11	"NATO, Operation Allied Force Update, 1 June 1999 0930 CET"
31May99	17	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 31st, and in the night between May 31st and June 1st 1999"
31May99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 31st, and in the night between May 31st and June 1st 1999"
31May99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 30th, and in the night between May 30th and 31st 1999"
31May99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on May 31st, and in the night between May 31st and June 1st 1999"
31May99	28	"War Against Yugoslavia (http://inet.com.yu)."
01Jun99	1	"Information provided by Yugoslav civil defense authorities"
01Jun99	2	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 1st, and in the night between June 1st and June 2nd 1999"
01Jun99	17	"War Against Yugoslavia (http://inet.com.yu)."
01Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 1st, and in the night between June 1st and June 2nd 1999"
01Jun99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 1st, and in the night between June 1st and June 2nd 1999"
01Jun99	21	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 1st, and in the night between June 1st and June 2nd 1999"
01Jun99	29	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 1st, and in the night between June 1st and June 2nd 1999"
02Jun99	1	"War Against Yugoslavia (http://inet.com.yu)."
02Jun99	2	"Information provided by Yugoslav civil defense authorities"
02Jun99	13	"Information provided by Yugoslav civil defense authorities"
02Jun99	17	"War Against Yugoslavia (http://inet.com.yu)."
02Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 2nd, and in the night between June 2nd and June 3rd 1999"
02Jun99	20	"War Against Yugoslavia (http://inet.com.yu)."
03Jun99	2	"War Against Yugoslavia (http://inet.com.yu)."
03Jun99	13	"Information provided by Yugoslav civil defense authorities"
03Jun99	17	"War Against Yugoslavia (http://inet.com.yu)."
03Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 3rd, and in the night between June 3rd and June 4th 1999"
03Jun99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 3rd, and in the night between June 3rd and June 4th 1999"
03Jun99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 3rd, and in the night between June 3rd and June 4th 1999"
04Jun99	1	"Information provided by Yugoslav civil defense authorities"
04Jun99	2	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 4th, and in the night between June 4th and June 5th 1999"
04Jun99	4	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 5th, and in the night between June 5th and June 6th 1999"
04Jun99	7	"Information provided by Yugoslav civil defense authorities"
04Jun99	13	"Information provided by Yugoslav civil defense authorities"
04Jun99	17	"Information provided by Yugoslav civil defense authorities"
04Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 4th, and in the night between June 4th and June 5th 1999"
04Jun99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 4th, and in the night between June 4th and June 5th 1999"
04Jun99	24	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 4th, and in the night between June 4th and June 5th 1999"
04Jun99	25	"Information provided by Yugoslav civil defense authorities"
05Jun99	1	"War Against Yugoslavia (http://inet.com.yu)."
05Jun99	3	"Information provided by Yugoslav civil defense authorities"
05Jun99	4	"Information provided by Yugoslav civil defense authorities"
05Jun99	9	"Tanjug, NATO hits Kosovo with 18 Missiles late Saturday, June 1999."
05Jun99	13	"Information provided by Yugoslav civil defense authorities"
05Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 5th, and in the night between June 5th and June 6th 1999"
05Jun99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 5th, and in the night between June 5th and June 6th 1999"
05Jun99	21	"Information provided by Yugoslav civil defense authorities"
05Jun99	25	"Information provided by Yugoslav civil defense authorities"
05Jun99	27	"Information provided by Yugoslav civil defense authorities"
06Jun99	1	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 6th, and in the night between June 6th and June 7th 1999"
06Jun99	2	"Information provided by Yugoslav civil defense authorities"
06Jun99	3	"Information provided by Yugoslav civil defense authorities"
06Jun99	4	"Information provided by Yugoslav civil defense authorities"
06Jun99	8	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 6th, and in the night between June 6th and June 7th 1999"
06Jun99	13	"Information provided by Yugoslav civil defense authorities"
06Jun99	17	"Information provided by Yugoslav civil defense authorities"
06Jun99	19	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 6th, and in the night between June 6th and June 7th 1999"
06Jun99	20	"Tanjug, NATO aircraft launch about 30 missiles in 30 minutes in Kosovo and Metohija, 7 June 1999"
06Jun99	24	"Information provided by Yugoslav civil defense authorities"
06Jun99	25	"Information provided by Yugoslav civil defense authorities"
07Jun99	1	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	2	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	4	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June7th, and in the night between June 7th and June 8th 1999"
07Jun99	8	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	17	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	18	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	20	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June7th, and in the night between June 7th and June 8th 1999"
07Jun99	21	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June7th, and in the night between June 7th and June 8th 1999"
07Jun99	23	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	24	"War Against Yugoslavia (http://inet.com.yu)."
07Jun99	27	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June7th, and in the night between June 7th and June 8th 1999"
08Jun99	1	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June7th, and in the night between June 7th and June 8th 1999"
08Jun99	2	"War Against Yugoslavia (http://inet.com.yu)."
08Jun99	4	"Information provided by Yugoslav civil defense authorities"
08Jun99	5	"Information provided by Yugoslav civil defense authorities"
08Jun99	11	"Serbian Unity Congress, Newsbits"
08Jun99	17	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June8th, and in the night between June 8th and June 9th 1999"
08Jun99	20	"Information provided by Yugoslav civil defense authorities; Serbian unity Congress Newsbits"
08Jun99	21	"Serbian Unity Congress, Newsbits"
08Jun99	22	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June8th, and in the night between June 8th and June 9th 1999"
08Jun99	25	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June8th, and in the night between June 8th and June 9th 1999"
09Jun99	16	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 9th, and in the night between June 9th and June 10th 1999"
09Jun99	17	"Information provided by Yugoslav civil defense authorities; Serbian unity Congress Newsbits"
09Jun99	25	"Information provided by Yugoslav civil defense authorities; Serbian unity Congress Newsbits"
10Jun99	10	"FRY Ministry of Foreign Affairs, ""NATO raids on manufacuring and civilian  facilities on June 10th, and in the night between June 10th and June 11th 1999"
